Winner,Toss Decision,Toss Winner,Won By,Result Method,Match No,Date,Year,Player Of Match,Team1,Team2,city,longitude,latitude
Sri Lanka,field,Sri Lanka,Chase,Normal,1,2017-02-17,2017,DAS Gunaratne,Australia,Sri Lanka,Melbourne,144.9631608,-37.8142176
Sri Lanka,field,Sri Lanka,Chase,Normal,2,2017-02-19,2017,DAS Gunaratne,Australia,Sri Lanka,Victoria,144.6780052,-36.5986096
Australia,field,Sri Lanka,Defend,Normal,3,2017-02-22,2017,A Zampa,Australia,Sri Lanka,Adelaide,138.5999312,-34.9281805
Hong Kong,bat,Hong Kong,Defend,Normal,4,2016-09-05,2016,None,Ireland,Hong Kong,Londonderry,-7.3213056,54.9978678
Zimbabwe,field,India,Defend,Normal,5,2016-06-18,2016,E Chigumbura,Zimbabwe,India,Harare,31.045686,-17.831773
India,bat,Zimbabwe,Chase,Normal,6,2016-06-20,2016,BB Sran,Zimbabwe,India,Harare,31.045686,-17.831773
India,field,Zimbabwe,Defend,Normal,7,2016-06-22,2016,KM Jadhav,Zimbabwe,India,Harare,31.045686,-17.831773
New Zealand,bat,Bangladesh,Chase,Normal,8,2017-01-03,2017,KS Williamson,New Zealand,Bangladesh,Napier,176.917839,-39.4902099
New Zealand,field,Bangladesh,Defend,Normal,9,2017-01-06,2017,C Munro,New Zealand,Bangladesh,Mount Maunganui,176.1838841,-37.6380218
New Zealand,field,Bangladesh,Defend,Normal,10,2017-01-08,2017,CJ Anderson,New Zealand,Bangladesh,Mount Maunganui,176.1838841,-37.6380218
South Africa,field,New Zealand,Defend,Normal,11,2017-02-17,2017,Imran Tahir,New Zealand,South Africa,Auckland,174.7631803,-36.852095
England,bat,South Africa,Chase,Normal,12,2017-06-21,2017,JM Bairstow,England,South Africa,Southampton,-1.404189,50.9025349
South Africa,field,England,Defend,Normal,13,2017-06-23,2017,CH Morris,England,South Africa,Taunton,-3.1029086,51.0147895
England,field,South Africa,Defend,Normal,14,2017-06-25,2017,DJ Malan,England,South Africa,Cardiff,-3.1791934,51.4816546
West Indies,field,England,Defend,Normal,15,2017-09-16,2017,SP Narine,West Indies,England,Chester-le-Street,-1.5750431,54.8543237
England,field,England,Chase,Normal,16,2017-01-26,2017,MM Ali,India,England,Kanpur,80.3217588,26.4609135
India,field,England,Defend,Normal,17,2017-01-29,2017,JJ Bumrah,India,England,Nagpur,79.0820556,21.1498134
India,field,England,Defend,Normal,18,2017-02-01,2017,YS Chahal,India,England,Bangalore,77.590082,12.9767936
Afghanistan,bat,Ireland,Chase,Normal,19,2017-03-08,2017,Samiullah Shenwari,Afghanistan,Ireland,Greater Noida,77.5137649,28.4670734
Afghanistan,bat,Afghanistan,Defend,D/L,20,2017-03-10,2017,Rashid Khan,Afghanistan,Ireland,Greater Noida,77.5137649,28.4670734
Afghanistan,field,Ireland,Defend,Normal,21,2017-03-12,2017,Mohammad Nabi,Afghanistan,Ireland,Greater Noida,77.5137649,28.4670734
West Indies,field,India,Defend,Normal,22,2016-08-27,2016,E Lewis,India,West Indies,Lauderhill,-80.2133808,26.1403635
Tied,field,India,Chase,Normal,23,2016-08-28,2016,None,India,West Indies,Lauderhill,-80.2133808,26.1403635
Pakistan,field,Pakistan,Chase,Normal,24,2016-09-23,2016,Imad Wasim,Pakistan,West Indies,Dubai,55.2924914,25.2653471
Pakistan,field,West Indies,Defend,Normal,25,2016-09-24,2016,Sarfraz Ahmed,Pakistan,West Indies,Dubai,55.2924914,25.2653471
Pakistan,field,Pakistan,Chase,Normal,26,2016-09-27,2016,Imad Wasim,Pakistan,West Indies,Abu Dhabi,54.3774014,24.4538352
Afghanistan,bat,Afghanistan,Defend,Normal,27,2016-12-14,2016,Karim Janat,United Arab Emirates,Afghanistan,Dubai,55.2924914,25.2653471
Afghanistan,bat,United Arab Emirates,Chase,Normal,28,2016-12-16,2016,Najibullah Zadran,United Arab Emirates,Afghanistan,Dubai,55.2924914,25.2653471
Afghanistan,bat,Afghanistan,Defend,Normal,29,2016-12-18,2016,Rashid Khan,United Arab Emirates,Afghanistan,Dubai,55.2924914,25.2653471
Australia,field,Australia,Chase,D/L,30,2018-02-03,2018,B Stanlake,New Zealand,Australia,Sydney,151.2164539,-33.8548157
Australia,field,Australia,Chase,Normal,31,2018-02-07,2018,GJ Maxwell,England,Australia,Hobart,147.3281233,-42.8825088
Australia,field,Australia,Chase,Normal,32,2018-02-10,2018,KW Richardson,England,Australia,Melbourne,144.9631608,-37.8142176
New Zealand,field,England,Defend,Normal,33,2018-02-13,2018,KS Williamson,New Zealand,England,Wellington,174.7772114,-41.2887953
Australia,bat,New Zealand,Chase,Normal,34,2018-02-16,2018,DJM Short,New Zealand,Australia,Auckland,174.7631803,-36.852095
England,field,New Zealand,Defend,Normal,35,2018-02-18,2018,EJG Morgan,England,New Zealand,Hamilton,-79.8728583,43.2560802
Australia,bat,New Zealand,Defend,D/L,36,2018-02-21,2018,AC Agar,New Zealand,Australia,Auckland,174.7631803,-36.852095
Scotland,bat,Scotland,Defend,Normal,37,2017-01-14,2017,CS MacLeod,Hong Kong,Scotland,Abu Dhabi,54.3774014,24.4538352
Afghanistan,bat,Ireland,Chase,Normal,38,2017-01-14,2017,Mohammad Nabi,Afghanistan,Ireland,Abu Dhabi,54.3774014,24.4538352
Netherlands,bat,Oman,Chase,Normal,39,2017-01-15,2017,MJG Rippon,Netherlands,Oman,Abu Dhabi,54.3774014,24.4538352
Oman,field,Oman,Chase,Normal,40,2017-01-16,2017,Bilal Khan,Hong Kong,Oman,Abu Dhabi,54.3774014,24.4538352
Afghanistan,field,Afghanistan,Chase,Normal,41,2017-01-16,2017,Dawlat Zadran,United Arab Emirates,Afghanistan,Abu Dhabi,54.3774014,24.4538352
Scotland,field,Netherlands,Defend,Normal,42,2017-01-17,2017,JH Davey,Netherlands,Scotland,Abu Dhabi,54.3774014,24.4538352
Ireland,bat,Ireland,Defend,Normal,43,2017-01-18,2017,WB Rankin,United Arab Emirates,Ireland,Dubai,55.2924914,25.2653471
Hong Kong,bat,Hong Kong,Defend,Normal,44,2017-01-18,2017,Anshuman Rath,Hong Kong,Netherlands,Dubai,55.2924914,25.2653471
Scotland,bat,Oman,Chase,Normal,45,2017-01-19,2017,MH Cross,Oman,Scotland,Dubai,55.2924914,25.2653471
Afghanistan,field,Afghanistan,Chase,Normal,46,2017-01-20,2017,Mohammad Shahzad,Afghanistan,Oman,Dubai,55.2924914,25.2653471
Ireland,field,Scotland,Defend,Normal,47,2017-01-20,2017,GC Wilson,Ireland,Scotland,Dubai,55.2924914,25.2653471
Afghanistan,bat,Ireland,Chase,Normal,48,2017-01-20,2017,Mohammad Nabi,Afghanistan,Ireland,Dubai,55.2924914,25.2653471
South Africa,bat,South Africa,Defend,Normal,49,2017-10-26,2017,AB de Villiers,South Africa,Bangladesh,Bloemfontein,26.215496,-29.116395
South Africa,field,Bangladesh,Defend,Normal,50,2017-10-29,2017,DA Miller,South Africa,Bangladesh,Potchefstroom,27.1013887,-26.7150922
Pakistan,field,Pakistan,Chase,Normal,51,2017-03-26,2017,Shadab Khan,West Indies,Pakistan,Barbados,-59.5250305,13.1500331
Pakistan,field,West Indies,Defend,Normal,52,2017-03-30,2017,Shadab Khan,West Indies,Pakistan,Trinidad,-61.26130538878063,10.443024300000001
Sri Lanka,bat,Bangladesh,Chase,Normal,53,2017-04-04,2017,MDKJ Perera,Sri Lanka,Bangladesh,Colombo,79.8541134,6.9387469
Bangladesh,bat,Bangladesh,Defend,Normal,54,2017-04-06,2017,Shakib Al Hasan,Sri Lanka,Bangladesh,Colombo,79.8541134,6.9387469
West Indies,bat,Pakistan,Chase,Normal,55,2017-04-01,2017,E Lewis,West Indies,Pakistan,Trinidad,-61.26130538878063,10.443024300000001
Pakistan,field,Pakistan,Chase,Normal,56,2017-04-02,2017,Hasan Ali,West Indies,Pakistan,Trinidad,-61.26130538878063,10.443024300000001
United Arab Emirates,field,United Arab Emirates,Chase,Normal,57,2017-04-12,2017,None,United Arab Emirates,Papua New Guinea,Abu Dhabi,54.3774014,24.4538352
United Arab Emirates,field,Papua New Guinea,Defend,Normal,58,2017-04-14,2017,None,United Arab Emirates,Papua New Guinea,Abu Dhabi,54.3774014,24.4538352
