Team,Played,Won,Fours,Sixes,Max Score,Win %
Pakistan,186,115,2327,816,232,61.82795698924731
New Zealand,159,77,1845,939,243,48.42767295597484
Australia,153,79,1841,872,263,51.633986928104584
India,151,95,1930,816,260,62.913907284768214
West Indies,150,61,1539,1009,245,40.666666666666664
South Africa,146,84,1820,765,241,57.534246575342465
Sri Lanka,143,65,1761,543,260,45.45454545454545
England,143,75,1915,777,241,52.44755244755245
Bangladesh,118,40,1389,452,215,33.89830508474576
Ireland,102,42,1191,373,225,41.17647058823529
Zimbabwe,90,23,1010,412,200,25.555555555555554
Afghanistan,83,56,966,551,278,67.46987951807229
Netherlands,72,37,841,261,209,51.388888888888886
Scotland,62,27,753,258,252,43.54838709677419
United Arab Emirates,49,22,525,201,199,44.89795918367347
Hong Kong,42,15,409,132,183,35.714285714285715
Kenya,39,18,405,122,183,46.15384615384615
Nepal,36,19,359,171,238,52.77777777777778
Oman,34,15,374,108,180,44.11764705882353
Namibia,30,21,314,148,240,70.0
Malaysia,26,11,296,118,206,42.30769230769231
Nigeria,25,7,174,57,135,28.000000000000004
Canada,25,11,274,113,245,44.0
Papua New Guinea,25,12,218,102,216,48.0
Uganda,24,17,242,102,176,70.83333333333334
Germany,21,13,172,61,180,61.904761904761905
Jersey,16,12,161,46,184,75.0
United States of America,15,7,138,70,188,46.666666666666664
Bermuda,15,6,148,79,239,40.0
Singapore,15,9,191,80,239,60.0
Ghana,14,7,144,48,239,50.0
Denmark,14,3,103,35,158,21.428571428571427
Malta,13,7,138,60,213,53.84615384615385
Maldives,11,2,69,26,153,18.181818181818183
Romania,11,10,179,54,211,90.9090909090909
Botswana,11,3,97,20,157,27.27272727272727
Tanzania,10,7,130,54,242,70.0
Italy,10,5,71,30,141,50.0
Gibraltar,10,0,83,22,193,0.0
Bulgaria,9,2,78,27,178,22.22222222222222
Sierra Leone,9,3,42,12,100,33.33333333333333
Spain,9,7,59,37,143,77.77777777777779
Rwanda,9,4,77,33,165,44.44444444444444
Kuwait,9,5,123,43,210,55.55555555555556
Qatar,9,4,107,41,187,44.44444444444444
Norway,9,2,69,28,185,22.22222222222222
Vanuatu,9,4,71,41,188,44.44444444444444
Thailand,8,1,55,27,154,12.5
Belgium,8,6,82,42,184,75.0
Luxembourg,8,4,104,24,187,50.0
Czech Republic,7,1,72,19,176,14.285714285714285
Guernsey,6,3,38,12,118,50.0
Swaziland,6,1,66,13,194,16.666666666666664
Lesotho,6,0,43,17,140,0.0
Sweden,6,3,57,16,146,50.0
Malawi,6,4,49,9,142,66.66666666666666
Bahrain,6,4,58,47,179,66.66666666666666
Belize,6,1,51,14,143,16.666666666666664
Cayman Islands,6,0,29,16,116,0.0
Seychelles,5,2,56,8,132,40.0
Cyprus,5,3,30,30,160,60.0
Bahamas,5,2,34,23,150,40.0
Estonia,5,0,36,16,130,0.0
Portugal,5,3,56,30,218,60.0
Isle of Man,5,4,33,20,151,80.0
Finland,4,2,43,14,145,50.0
Mozambique,4,1,52,18,209,25.0
France,4,1,26,12,128,25.0
Argentina,4,1,42,4,171,25.0
Switzerland,4,3,36,25,170,75.0
Cameroon,4,0,23,3,89,0.0
Hungary,4,2,73,24,187,50.0
Philippines,4,1,12,2,93,25.0
ICC World XI,4,1,52,27,177,25.0
Saudi Arabia,3,1,31,16,161,33.33333333333333
Panama,3,1,27,4,139,33.33333333333333
Austria,3,2,30,15,179,66.66666666666666
Greece,3,1,30,17,157,33.33333333333333
Serbia,3,0,32,10,144,0.0
Bhutan,2,0,10,5,117,0.0
Iran,1,0,10,0,108,0.0
